category,value,substitution,scenario,measure,basis
4,15.458704667633413,postsub,tracker_no_s338_2026-07-21,delta_vs_default,2025 dollars
5,18.701880007654722,postsub,tracker_no_s338_2026-07-21,delta_vs_default,2025 dollars
6,21.273819213565844,postsub,tracker_no_s338_2026-07-21,delta_vs_default,2025 dollars
7,23.801458571857836,postsub,tracker_no_s338_2026-07-21,delta_vs_default,2025 dollars
8,27.474920100055215,postsub,tracker_no_s338_2026-07-21,delta_vs_default,2025 dollars
9,31.89143041619343,postsub,tracker_no_s338_2026-07-21,delta_vs_default,2025 dollars
10,53.932053752856746,postsub,tracker_no_s338_2026-07-21,delta_vs_default,2025 dollars
Total,23.257299877962453,postsub,tracker_no_s338_2026-07-21,delta_vs_default,2025 dollars
1,-309.37319643930556,presub,tracker_new_301_2026-07-21,delta_vs_default,2025 dollars
2,-309.3168815879109,presub,tracker_new_301_2026-07-21,delta_vs_default,2025 dollars
3,-363.3086948422866,presub,tracker_new_301_2026-07-21,delta_vs_default,2025 dollars
4,-379.14360012409526,presub,tracker_new_301_2026-07-21,delta_vs_default,2025 dollars
5,-458.6864338017375,presub,tracker_new_301_2026-07-21,delta_vs_default,2025 dollars
6,-521.7663820118305,presub,tracker_new_301_2026-07-21,delta_vs_default,2025 dollars
7,-583.7598223888052,presub,tracker_new_301_2026-07-21,delta_vs_default,2025 dollars
8,-673.8559500180636,presub,tracker_new_301_2026-07-21,delta_vs_default,2025 dollars
9,-782.1762561011344,presub,tracker_new_301_2026-07-21,delta_vs_default,2025 dollars
10,-1322.7494451561088,presub,tracker_new_301_2026-07-21,delta_vs_default,2025 dollars
Total,-570.4136662471278,presub,tracker_new_301_2026-07-21,delta_vs_default,2025 dollars
1,-274.2225226810861,postsub,tracker_new_301_2026-07-21,delta_vs_default,2025 dollars
2,-274.17260626689267,postsub,tracker_new_301_2026-07-21,delta_vs_default,2025 dollars
3,-322.02992359478753,postsub,tracker_new_301_2026-07-21,delta_vs_default,2025 dollars
4,-336.0656827451298,postsub,tracker_new_301_2026-07-21,delta_vs_default,2025 dollars
5,-406.57093906123197,postsub,tracker_new_301_2026-07-21,delta_vs_default,2025 dollars
6,-462.4838065230956,postsub,tracker_new_301_2026-07-21,delta_vs_default,2025 dollars
7,-517.4336140872708,postsub,tracker_new_301_2026-07-21,delta_vs_default,2025 dollars
8,-597.293109630671,postsub,tracker_new_301_2026-07-21,delta_vs_default,2025 dollars
9,-693.3061706636253,postsub,tracker_new_301_2026-07-21,delta_vs_default,2025 dollars
10,-1172.4599735868744,postsub,tracker_new_301_2026-07-21,delta_vs_default,2025 dollars
Total,-505.60383488406654,postsub,tracker_new_301_2026-07-21,delta_vs_default,2025 dollars
